Código;Nome Município;Casos Total;Casos 1980-2009;Casos 2010;Casos 2011;Casos 2012;Casos 2013;Casos 2014;Casos 2015;Casos 2016;Casos 2017;Casos 2018;Casos 2019;Casos 2020;Casos 2021;Casos 2022;Tx Det 2010;Tx Det 2011;Tx Det 2012;Tx Det 2013;Tx Det 2014;Tx Det 2015;Tx Det 2016;Tx Det 2017;Tx Det 2018;Tx Det 2019;Tx Det 2020;Tx Det 2021;Casos M Total;Casos M 1980-2009;Casos M 2010;Casos M 2011;Casos M 2012;Casos M 2013;Casos M 2014;Casos M 2015;Casos M 2016;Casos M 2017;Casos M 2018;Casos M 2019;Casos M 2020;Casos M 2021;Casos M 2022;Tx Det M 2010;Tx Det M 2011;Tx Det M 2012;Tx Det M 2013;Tx Det M 2014;Tx Det M 2015;Tx Det M 2016;Tx Det M 2017;Tx Det M 2018;Tx Det M 2019;Tx Det M 2020;Tx Det M 2021;Casos F Total;Casos F 1980-2009;Casos F 2010;Casos F 2011;Casos F 2012;Casos F 2013;Casos F 2014;Casos F 2015;Casos F 2016;Casos F 2017;Casos F 2018;Casos F 2019;Casos F 2020;Casos F 2021;Casos F 2022;Tx Det F 2010;Tx Det F 2011;Tx Det F 2012;Tx Det F 2013;Tx Det F 2014;Tx Det F 2015;Tx Det F 2016;Tx Det F 2017;Tx Det F 2018;Tx Det F 2019;Tx Det F 2020;Tx Det F 2021;Razão M:F 2010;Razão M:F 2011;Razão M:F 2012;Razão M:F 2013;Razão M:F 2014;Razão M:F 2015;Razão M:F 2016;Razão M:F 2017;Razão M:F 2018;Razão M:F 2019;Razão M:F 2020;Razão M:F 2021;Casos < 5 Total;Casos < 5 1980-2009;Casos < 5 2010;Casos < 5 2011;Casos < 5 2012;Casos < 5 2013;Casos < 5 2014;Casos < 5 2015;Casos < 5 2016;Casos < 5 2017;Casos < 5 2018;Casos < 5 2019;Casos < 5 2020;Casos < 5 2021;Casos < 5 2022;Tx Det < 5 2010;Tx Det < 5 2011;Tx Det < 5 2012;Tx Det < 5 2013;Tx Det < 5 2014;Tx Det < 5 2015;Tx Det < 5 2016;Tx Det < 5 2017;Tx Det < 5 2018;Tx Det < 5 2019;Tx Det < 5 2020;Tx Det < 5 2021;Casos 15-24 Total;Casos 15-24 1980-2009;Casos 15-24 2010;Casos 15-24 2011;Casos 15-24 2012;Casos 15-24 2013;Casos 15-24 2014;Casos 15-24 2015;Casos 15-24 2016;Casos 15-24 2017;Casos 15-24 2018;Casos 15-24 2019;Casos 15-24 2020;Casos 15-24 2021;Casos 15-24 2022;Tx Det 15-24 2010;Tx Det 15-24 2011;Tx Det 15-24 2012;Tx Det 15-24 2013;Tx Det 15-24 2014;Tx Det 15-24 2015;Tx Det 15-24 2016;Tx Det 15-24 2017;Tx Det 15-24 2018;Tx Det 15-24 2019;Tx Det 15-24 2020;Tx Det 15-24 2021;HIV Gest Total;HIV Gest 2000-2009;HIV Gest 2010;HIV Gest 2011;HIV Gest 2012;HIV Gest 2013;HIV Gest 2014;HIV Gest 2015;HIV Gest 2016;HIV Gest 2017;HIV Gest 2018;HIV Gest 2019;HIV Gest 2020;HIV Gest 2021;HIV Gest 2022;Tx Det HIV Gest 2010;Tx Det HIV Gest 2011;Tx Det HIV Gest 2012;Tx Det HIV Gest 2013;Tx Det HIV Gest 2014;Tx Det HIV Gest 2015;Tx Det HIV Gest 2016;Tx Det HIV Gest 2017;Tx Det HIV Gest 2018;Tx Det HIV Gest 2019;Tx Det HIV Gest 2020;Tx Det HIV Gest 2021;Óbitos Total;Óbitos 1996-2009;Óbitos 2010;Óbitos 2011;Óbitos 2012;Óbitos 2013;Óbitos 2014;Óbitos 2015;Óbitos 2016;Óbitos 2017;Óbitos 2018;Óbitos 2019;Óbitos 2020;Óbitos 2021;Tx Mort. 2010;Tx Mort. 2011;Tx Mort. 2012;Tx Mort. 2013;Tx Mort. 2014;Tx Mort. 2015;Tx Mort. 2016;Tx Mort. 2017;Tx Mort. 2018;Tx Mort. 2019;Tx Mort. 2020;Tx Mort. 2021;Tx Mort. Padr. 2010;Tx Mort. Padr. 2011;Tx Mort. Padr. 2012;Tx Mort. Padr. 2013;Tx Mort. Padr. 2014;Tx Mort. Padr. 2015;Tx Mort. Padr. 2016;Tx Mort. Padr. 2017;Tx Mort. Padr. 2018;Tx Mort. Padr. 2019;Tx Mort. Padr. 2020;Tx Mort. Padr. 2021
410010;Abatiá;6;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13,4;0;0;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;26,8;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;103,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;9,9;0;0;0;8,5;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410020;Adrianópolis;9;2;0;0;1;3;0;0;0;1;0;2;0;0;0;0;0;15,7;47,5;0;0;0;16,5;0;33,8;0;0;8;2;0;0;1;3;0;0;0;1;0;1;0;0;0;0;0;30,3;91,8;0;0;0;32;0;32,7;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;-0;-0;-0;-0;-0;-0;-0;-0;-0;1;-0;-0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;94,3;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;28,2;0;0;0;0;14,3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;17,3;0;0;0;0;0;0;0;0;0;0;0;0
410030;Agudos do Sul;15;7;0;0;1;0;1;1;1;2;0;0;1;1;0;0;0;11,6;0;11,3;11,2;11;21,8;0;0;10,6;10,5;8;4;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;22,2;0;0;21,4;21,1;20,9;0;0;0;0;7;3;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;23,6;0;0;22,9;0;0;22,2;22;-0;-0;-0;-0;0;-0;-0;1;-0;-0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;8,8;0;0;0;7,5;4;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;11,3;0;0;10,9;0;0;0;10,5;0;0;0;0;0;0;0;0;0;0;0;0
410040;Almirante Tamandaré;614;299;16;35;32;24;30;23;22;31;25;28;16;19;14;15,2;32,8;29,6;21,9;27;20,4;19,3;26,8;21,3;23,6;13,3;15,6;332;156;11;17;20;10;15;12;15;14;13;16;12;13;8;21,1;32,1;37,3;18,4;27,3;21,5;26,6;24,5;22,5;27,3;20,3;21,7;282;143;5;18;12;14;15;11;7;17;12;12;4;6;6;9,4;33,4;22;25,3;26,7;19,3;12,1;29;20,2;20;6,6;9,7;2,2;0,9;1,7;0,7;1;1,1;2,1;0,8;1,1;1,3;3;2,2;11;7;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;4,7;4,7;4,7;0;0;4,9;0;83;41;1;6;3;1;7;1;3;2;6;6;1;1;4;5,1;30,1;14,7;4,8;33,2;4,7;14,1;9,5;28,6;29;4,9;5;154;47;6;6;9;10;4;14;13;10;6;12;10;4;3;3,3;3,2;4,8;5,2;2,1;6,9;7,2;5,6;3,5;7,2;6,3;2,5;164;70;7;9;10;6;6;5;7;10;8;13;7;6;6,6;8,4;9,2;5,5;5,4;4,4;6,1;8,6;6,8;11;5,8;4,9;0;0;0;0;0;0;0;0;0;0;0;0
410045;Altamira do Paraná;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;27,8;0;0;0;0;0;0;0;70;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;137,9;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;56,8;0;0;0;0;0;0;0;0;-0;-0;-0;0;-0;-0;-0;-0;-0;-0;-0;-0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0
410050;Altônia;39;17;2;1;3;6;3;3;1;2;0;1;0;0;0;9,6;4,8;14,2;28,2;14;13,9;4,6;9,2;0;4,5;0;0;19;10;1;1;0;2;2;0;1;2;0;0;0;0;0;9,6;9,6;0;19;18,9;0;9,3;18,6;0;0;0;0;20;7;1;0;3;4;1;3;0;0;0;1;0;0;0;9,5;0;28,1;37,2;9,2;27,5;0;0;0;8,9;0;0;1;-0;0;0,5;2;0;-0;-0;-0;0;-0;-0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;29,6;29,8;0;0;30,9;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4,2;0;0;0;0;0;0;0;0;0;13;6;0;1;0;2;1;0;1;1;0;0;0;1;0;4,8;0;9,4;4,7;0;4,6;4,6;0;0;0;4,5;0;0;0;0;0;0;0;0;0;0;0;0
410060;Alto Paraná;48;21;1;2;5;1;7;4;1;1;2;0;1;2;0;7,2;14,3;35,4;7;48,9;27,8;6,9;6,9;13,6;0;6,7;13,4;29;14;1;1;2;1;3;2;1;1;2;0;0;1;0;14,3;14,2;28,3;14;41,9;27,7;13,8;13,7;27,2;0;0;13,4;19;7;0;1;3;0;4;2;0;0;0;0;1;1;0;0;14,3;42,6;0;56;27,8;0;0;0;0;13,5;13,4;-0;1;0,7;-0;0,8;1;-0;-0;-0;-0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;1;3;0;2;0;0;0;0;0;1;0;0;0;42,1;126,3;0;84,6;0;0;0;0;0;47,9;0;4;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;9,9;0;0;0;0;5,6;0;15;7;0;2;0;0;2;1;1;1;0;0;0;1;0;14,3;0;0;14;6,9;6,9;6,9;0;0;0;6,7;0;0;0;0;0;0;0;0;0;0;0;0
410070;Alto Piquiri;22;8;3;1;3;2;0;1;0;0;1;2;0;0;1;28,9;9,7;29,2;19,6;0;9,9;0;0;10,1;20,3;0;0;13;4;2;0;1;1;0;1;0;0;1;2;0;0;1;38,2;0;19,3;19,4;0;19,6;0;0;20;40,2;0;0;9;4;1;1;2;1;0;0;0;0;0;0;0;0;0;19,4;19,6;39,4;19,8;0;0;0;0;0;0;0;0;2;0;0,5;1;-0;-0;-0;-0;-0;-0;-0;-0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;74,2;0;0;5;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;114,9;0;0;0;0;69,9;0;0;0;9;5;1;2;0;0;1;0;0;0;0;0;0;0;0;6,4;15;0;0;6,7;0;0;0;0;0;0;0;6;2;0;0;2;1;0;0;0;0;0;1;0;0;0;0;19,5;9,8;0;0;0;0;0;10,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410080;Alvorada do Sul;30;13;3;1;2;1;1;2;2;2;1;1;1;0;0;28,6;9,4;18,7;9,3;9,2;18,2;18;17,9;8,8;8,8;8,7;0;24;10;3;0;1;1;1;1;2;2;1;1;1;0;0;56,4;0;18,5;18,3;18,1;17,9;35,5;35,2;17,4;17,3;17,1;0;6;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;19,2;19;0;0;18,4;0;0;0;0;0;0;-0;0;1;-0;-0;1;-0;-0;-0;-0;-0;-0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;67;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;10,1;10,9;0;0;0;0;0;0;0;0;0;0;11;6;0;1;0;0;1;0;0;2;0;0;0;1;0;9,4;0;0;9,2;0;0;17,9;0;0;0;8,6;0;0;0;0;0;0;0;0;0;0;0;0
410090;Amaporã;7;1;0;0;0;1;1;2;0;0;1;0;1;0;0;0;0;0;17,3;17,1;33,6;0;0;16,2;0;15,8;0;3;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;34,2;33,7;33,2;0;0;0;0;0;0;4;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;34;0;0;32,7;0;31,9;0;-0;-0;-0;-0;-0;1;-0;-0;0;-0;0;-0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;16,8;0;0;0;0;0;15,6;0;0;0;0;0;0;0;0;0;0;0;0
